  📦 中证500 箱体: 7870/6615 (基于 2025-12-08~2025-12-31 共18根日线)
═══════════════════════════════════════════════════════════════════
  V3.2 双周期信号检测  中证500
  箱体: 7869.81 / 6614.52
  30min K线: 840根,  5min K线: 5000根
═══════════════════════════════════════════════════════════════════

  30min 趋势层 (211 次变化)
  时间             趋势         信号
  03-02 11:15    🔴反弹结束        🔴看空        ✅SELL     8616.05  
  03-02 13:40    🔴反弹结束        🔴看空        ✅SELL     8671.04  ⚠️MA判假下跌
  03-02 14:10    🟢止跌上涨        🔴看空        ⏸HOLD     8632.81  30min看空，不买
  03-03 10:25    🟢止跌上涨        🔴看空        ⏸HOLD     8365.88  30min看空，不买
  03-03 11:10    🔴反弹结束        🟢看多        ⏸HOLD     8520.04  30min看多，不卖
  03-03 13:10    🟢止跌上涨        🟢看多        ✅BUY      8430.35  ⚠️MA判假反弹
  03-03 13:45    🟢止跌上涨        🟢看多        ✅BUY      8373.40  ⚠️MA判假反弹
  03-03 14:30    🟢止跌上涨        🟢看多        ✅BUY      8282.76  ⚠️MA判假反弹
  03-03 15:00    🟢止跌上涨        🟢看多        ✅BUY      8267.12  ⚠️MA判假反弹
  03-04 09:55    🔴反弹结束        🟢看多        ⏸HOLD     8330.85  30min看多，不卖
  03-04 10:20    🔴反弹结束        🟢看多        ⏸HOLD     8377.18  30min看多，不卖
  03-04 10:50    🟢止跌上涨        🟢看多        ✅BUY      8276.15  ⚠️MA判假反弹
  03-04 11:20    🟢止跌上涨        🟢看多        ✅BUY      8241.43  ⚠️MA判假反弹
  03-04 13:10    🟢止跌上涨        🟢看多        ✅BUY      8222.40  ⚠️MA判假反弹
  03-04 13:25    🔴反弹结束        🟢看多        ⏸HOLD     8274.53  30min看多，不卖
  03-04 13:45    🔴反弹结束        🟢看多        ⏸HOLD     8300.54  30min看多，不卖
  03-04 14:20    🟢止跌上涨        🟢看多        ✅BUY      8229.39  ⚠️MA判假反弹
  03-05 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8321.89  30min看空，不买
  03-05 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8306.58  30min看空，不买
  03-05 10:40    🔴反弹结束        🔴看空        ✅SELL     8363.84  
  03-05 11:10    🔴反弹结束        🔴看空        ✅SELL     8369.09  
  03-05 14:25    🟢止跌上涨        🔴看空        ⏸HOLD     8254.76  30min看空，不买
  03-06 09:45    🔴反弹结束        🟢看多        ⏸HOLD     8302.70  30min看多，不卖
  03-06 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8339.22  30min看多，不卖
  03-06 10:30    🔴反弹结束        🟢看多        ⏸HOLD     8373.14  30min看多，不卖
  03-06 10:55    🔴反弹结束        🟢看多        ⏸HOLD     8381.96  30min看多，不卖
  03-06 13:05    🔴反弹结束        🟢看多        ⏸HOLD     8393.74  30min看多，不卖
  03-06 13:35    🟢止跌上涨        🔴看空        ⏸HOLD     8355.67  30min看空，不买
  03-09 09:45    🟢止跌上涨        🔴看空        ⏸HOLD     8110.30  30min看空，不买
  03-09 10:15    🔴反弹结束        🔴看空        ✅SELL     8120.10  
  03-09 11:15    🔴反弹结束        🟢看多        ⏸HOLD     8172.50  30min看多，不卖
  03-09 13:15    🔴反弹结束        🟢看多        ⏸HOLD     8222.33  30min看多，不卖
  03-09 13:40    🔴反弹结束        🟢看多        ⏸HOLD     8263.49  30min看多，不卖
  03-09 14:20    🔴反弹结束        🟢看多        ⏸HOLD     8303.60  30min看多，不卖
  03-10 11:20    🟢止跌上涨        🟢看多        ✅BUY      8330.93  
  03-11 09:45    🔴反弹结束        🟢看多        ⏸HOLD     8439.57  30min看多，不卖
  03-11 10:15    🟢止跌上涨        🔴看空        ⏸HOLD     8403.38  30min看空，不买
  03-11 11:05    🔴反弹结束        🔴看空        ✅SELL     8428.72  
  03-11 13:20    🟢止跌上涨        🔴看空        ⏸HOLD     8398.20  30min看空，不买
  03-11 14:00    🟢止跌上涨        🟢看多        ✅BUY      8384.23  ⚠️MA判假反弹
  03-12 09:55    🔴反弹结束        🔴看空        ✅SELL     8427.05  
  03-12 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     8297.80  30min看空，不买
  03-12 13:20    🟢止跌上涨        🔴看空        ⏸HOLD     8291.05  30min看空，不买
  03-13 09:40    🔴反弹结束        🟢看多        ⏸HOLD     8333.63  30min看多，不卖
  03-13 09:50    🟢止跌上涨        🟢看多        ✅BUY      8283.26  ⚠️MA判假反弹
  03-13 10:15    🔴反弹结束        🔴看空        ✅SELL     8353.09  
  03-13 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     8321.55  30min看空，不买
  03-13 11:15    🔴反弹结束        🔴看空        ✅SELL     8330.65  
  03-13 13:35    🟢止跌上涨        🔴看空        ⏸HOLD     8290.11  30min看空，不买
  03-13 13:50    🔴反弹结束        🔴看空        ✅SELL     8317.62  
  03-13 14:55    🟢止跌上涨        🔴看空        ⏸HOLD     8222.86  30min看空，不买
  03-16 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8108.97  30min看空，不买
  03-16 10:20    🟢止跌上涨        🔴看空        ⏸HOLD     8125.96  30min看空，不买
  03-16 10:55    🟢止跌上涨        🔴看空        ⏸HOLD     8060.78  30min看空，不买
  03-16 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8182.57  30min看多，不卖
  03-16 13:40    🟢止跌上涨        🟢看多        ✅BUY      8152.75  
  03-16 13:50    🔴反弹结束        🟢看多        ⏸HOLD     8184.20  30min看多，不卖
  03-17 09:35    🔴反弹结束        🟢看多        ⏸HOLD     8207.46  30min看多，不卖
  03-17 09:50    🟢止跌上涨        🟢看多        ✅BUY      8134.79  
  03-17 10:15    🔴反弹结束        🔴看空        ✅SELL     8188.24  ⚠️MA判假下跌
  03-17 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     8131.26  30min看空，不买
  03-18 09:45    🟢止跌上涨        🔴看空        ⏸HOLD     8017.39  30min看空，不买
  03-18 11:05    🟢止跌上涨        🔴看空        ⏸HOLD     7967.16  30min看空，不买
  03-18 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8035.25  30min看多，不卖
  03-18 13:20    🟢止跌上涨        🟢看多        ✅BUY      7993.03  
  03-18 13:55    🔴反弹结束        🟢看多        ⏸HOLD     8054.48  30min看多，不卖
  03-19 09:40    🔴反弹结束        🟢看多        ⏸HOLD     7993.26  30min看多，不卖
  03-19 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     7957.45  30min看空，不买
  03-19 10:20    🟢止跌上涨        🔴看空        ⏸HOLD     7905.54  30min看空，不买
  03-19 11:15    🔴反弹结束        🟢看多        ⏸HOLD     7971.57  30min看多，不卖
  03-19 13:35    🟢止跌上涨        🟢看多        ✅BUY      7888.58  ⚠️MA判假反弹
  03-19 14:55    🟢止跌上涨        🟢看多        ✅BUY      7844.15  ⚠️MA判假反弹
  03-20 09:50    🔴反弹结束        🟢看多        ⏸HOLD     7937.52  30min看多，不卖
  03-20 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     7862.41  30min看空，不买
  03-20 10:20    🟢止跌上涨        🔴看空        ⏸HOLD     7848.20  30min看空，不买
  03-20 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     7851.02  30min看空，不买
  03-20 11:10    🟢止跌上涨        🔴看空        ⏸HOLD     7836.29  30min看空，不买
  03-20 13:15    🔴反弹结束        🟢看多        ⏸HOLD     7923.63  30min看多，不卖
  03-23 09:40    🟢止跌上涨        🟢看多        ✅BUY      7559.56  ⚠️MA判假反弹
  03-23 10:15    🔴反弹结束        🟢看多        ⏸HOLD     7699.17  30min看多，不卖
  03-23 11:00    🟢止跌上涨        🟢看多        ✅BUY      7581.32  ⚠️MA判假反弹
  03-23 13:05    🟢止跌上涨        🟢看多        ✅BUY      7559.71  ⚠️MA判假反弹
  03-23 13:35    🟢止跌上涨        🟢看多        ✅BUY      7495.49  ⚠️MA判假反弹
  03-23 14:20    🟢止跌上涨        🟢看多        ✅BUY      7426.18  ⚠️MA判假反弹
  03-23 14:35    🔴反弹结束        🟢看多        ⏸HOLD     7470.20  30min看多，不卖
  03-23 14:55    🟢止跌上涨        🟢看多        ✅BUY      7402.07  ⚠️MA判假反弹
  03-24 09:35    🔴反弹结束        🟢看多        ⏸HOLD     7558.26  30min看多，不卖
  03-24 09:55    🟢止跌上涨        🟢看多        ✅BUY      7436.54  
  03-24 10:25    🟢止跌上涨        🔴看空        ⏸HOLD     7388.16  30min看空，不买
  03-24 10:50    🔴反弹结束        🟢看多        ⏸HOLD     7517.16  30min看多，不卖
  03-24 11:15    🟢止跌上涨        🟢看多        ✅BUY      7468.15  
  03-24 13:05    🔴反弹结束        🟢看多        ⏸HOLD     7500.28  30min看多，不卖
  03-24 13:35    🟢止跌上涨        🔴看空        ⏸HOLD     7415.50  30min看空，不买
  03-24 13:45    🔴反弹结束        🔴看空        ✅SELL     7470.95  
  03-24 14:40    🔴反弹结束        🔴看空        ✅SELL     7586.49  ⚠️MA判假下跌
  03-25 10:00    🔴反弹结束        🟢看多        ⏸HOLD     7806.91  30min看多，不卖
  03-25 10:45    🟢止跌上涨        🔴看空        ⏸HOLD     7750.30  30min看空，不买
  03-25 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     7728.74  30min看空，不买
  03-25 13:35    🔴反弹结束        🟢看多        ⏸HOLD     7779.69  30min看多，不卖
  03-25 14:00    🟢止跌上涨        🟢看多        ✅BUY      7740.03  
  03-26 09:35    🔴反弹结束        🟢看多        ⏸HOLD     7757.02  30min看多，不卖
  03-26 09:55    🟢止跌上涨        🟢看多        ✅BUY      7734.64  ⚠️MA判假反弹
  03-26 10:05    🔴反弹结束        🟢看多        ⏸HOLD     7776.16  30min看多，不卖
  03-26 10:45    🟢止跌上涨        🔴看空        ⏸HOLD     7717.68  30min看空，不买
  03-26 13:20    🟢止跌上涨        🔴看空        ⏸HOLD     7652.05  30min看空，不买
  03-26 13:50    🔴反弹结束        🔴看空        ✅SELL     7661.92  
  03-26 14:05    🟢止跌上涨        🔴看空        ⏸HOLD     7633.08  30min看空，不买
  03-26 14:55    🟢止跌上涨        🔴看空        ⏸HOLD     7630.25  30min看空，不买
  03-27 09:50    🔴反弹结束        🟢看多        ⏸HOLD     7627.40  30min看多，不卖
  03-27 10:20    🔴反弹结束        🟢看多        ⏸HOLD     7680.78  30min看多，不卖
  03-27 10:30    🟢止跌上涨        🟢看多        ✅BUY      7652.06  
  03-27 10:55    🔴反弹结束        🟢看多        ⏸HOLD     7698.67  30min看多，不卖
  03-27 11:10    🟢止跌上涨        🟢看多        ✅BUY      7678.15  
  03-27 13:25    🔴反弹结束        🟢看多        ⏸HOLD     7781.62  30min看多，不卖
  03-30 09:35    🟢止跌上涨        🟢看多        ✅BUY      7655.15  ⚠️MA判假反弹
  03-30 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     7610.55  30min看空，不买
  03-30 10:40    🔴反弹结束        🔴看空        ✅SELL     7660.07  
  03-30 13:05    🔴反弹结束        🟢看多        ⏸HOLD     7766.11  30min看多，不卖
  03-30 13:20    🟢止跌上涨        🟢看多        ✅BUY      7736.54  
  03-30 13:50    🟢止跌上涨        🔴看空        ⏸HOLD     7713.71  30min看空，不买
  03-31 09:50    🔴反弹结束        🔴看空        ✅SELL     7764.88  
  03-31 10:05    🔴反弹结束        🟢看多        ⏸HOLD     7788.89  30min看多，不卖
  03-31 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     7648.39  30min看空，不买
  03-31 13:45    🔴反弹结束        🟢看多        ⏸HOLD     7689.15  30min看多，不卖
  04-01 09:45    🟢止跌上涨        🟢看多        ✅BUY      7711.07  
  04-01 10:05    🟢止跌上涨        🟢看多        ✅BUY      7689.59  
  04-01 13:35    🔴反弹结束        🟢看多        ⏸HOLD     7778.99  30min看多，不卖
  04-01 14:05    🟢止跌上涨        🟢看多        ✅BUY      7713.69  
  04-02 09:35    🔴反弹结束        🟢看多        ⏸HOLD     7726.45  30min看多，不卖
  04-02 09:55    🟢止跌上涨        🟢看多        ✅BUY      7684.78  ⚠️MA判假反弹
  04-02 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     7647.73  30min看空，不买
  04-02 11:10    🔴反弹结束        🟢看多        ⏸HOLD     7659.80  30min看多，不卖
  04-02 13:25    🟢止跌上涨        🟢看多        ✅BUY      7602.52  ⚠️MA判假反弹
  04-02 13:45    🟢止跌上涨        🟢看多        ✅BUY      7600.20  ⚠️MA判假反弹
  04-02 14:10    🟢止跌上涨        🟢看多        ✅BUY      7567.65  ⚠️MA判假反弹
  04-02 14:30    🔴反弹结束        🟢看多        ⏸HOLD     7615.54  30min看多，不卖
  04-03 09:35    🔴反弹结束        🟢看多        ⏸HOLD     7640.84  30min看多，不卖
  04-03 10:25    🟢止跌上涨        🔴看空        ⏸HOLD     7543.50  30min看空，不买
  04-03 10:40    🔴反弹结束        🔴看空        ✅SELL     7603.72  
  04-03 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     7576.84  30min看空，不买
  04-03 13:10    🟢止跌上涨        🔴看空        ⏸HOLD     7524.26  30min看空，不买
  04-03 13:30    🟢止跌上涨        🔴看空        ⏸HOLD     7524.06  30min看空，不买
  04-03 13:50    🔴反弹结束        🔴看空        ✅SELL     7578.14  
  04-03 14:15    🟢止跌上涨        🟢看多        ✅BUY      7553.18  
  04-07 09:35    🟢止跌上涨        🟢看多        ✅BUY      7562.14  
  04-07 13:05    🟢止跌上涨        🔴看空        ⏸HOLD     7542.95  30min看空，不买
  04-07 13:25    🟢止跌上涨        🔴看空        ⏸HOLD     7533.32  30min看空，不买
  04-07 14:05    🔴反弹结束        🟢看多        ⏸HOLD     7588.52  30min看多，不卖
  04-08 09:35    🟢止跌上涨        🟢看多        ✅BUY      7741.63  
  04-08 09:45    🔴反弹结束        🟢看多        ⏸HOLD     7824.90  30min看多，不卖
  04-08 10:10    🟢止跌上涨        🟢看多        ✅BUY      7790.57  
  04-08 13:30    🔴反弹结束        🟢看多        ⏸HOLD     7908.01  30min看多，不卖
  04-08 14:10    🔴反弹结束        🟢看多        ⏸HOLD     7923.43  30min看多，不卖
  04-08 14:25    🟢止跌上涨        🟢看多        ✅BUY      7910.10  
  04-09 11:00    🔴反弹结束        🟢看多        ⏸HOLD     7944.88  30min看多，不卖
  04-09 13:25    🟢止跌上涨        🔴看空        ⏸HOLD     7871.99  30min看空，不买
  04-09 14:35    🔴反弹结束        🟢看多        ⏸HOLD     7906.46  30min看多，不卖
  04-10 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8061.57  30min看多，不卖
  04-10 11:25    🟢止跌上涨        🔴看空        ⏸HOLD     7996.52  30min看空，不买
  04-13 09:35    🟢止跌上涨        🟢看多        ✅BUY      7917.92  ⚠️MA判假反弹
  04-13 10:05    🔴反弹结束        🟢看多        ⏸HOLD     7987.01  30min看多，不卖
  04-13 11:00    🟢止跌上涨        🟢看多        ✅BUY      7947.98  ⚠️MA判假反弹
  04-13 13:50    🔴反弹结束        🟢看多        ⏸HOLD     7988.60  30min看多，不卖
  04-14 09:55    🟢止跌上涨        🟢看多        ✅BUY      8018.05  
  04-14 10:40    🔴反弹结束        🟢看多        ⏸HOLD     8062.80  30min看多，不卖
  04-14 11:00    🔴反弹结束        🔴看空        ✅SELL     8065.25  
  04-14 13:40    🟢止跌上涨        🔴看空        ⏸HOLD     8002.65  30min看空，不买
  04-14 13:50    🔴反弹结束        🔴看空        ✅SELL     8026.13  
  04-15 09:40    🔴反弹结束        🔴看空        ✅SELL     8141.24  ⚠️MA判假下跌
  04-15 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8096.54  30min看空，不买
  04-15 10:50    🔴反弹结束        🔴看空        ✅SELL     8117.61  
  04-15 11:15    🟢止跌上涨        🔴看空        ⏸HOLD     8074.29  30min看空，不买
  04-15 13:55    🟢止跌上涨        🟢看多        ✅BUY      8056.42  ⚠️MA判假反弹
  04-15 14:55    🟢止跌上涨        🟢看多        ✅BUY      8029.48  ⚠️MA判假反弹
  04-16 10:20    🔴反弹结束        🟢看多        ⏸HOLD     8135.47  30min看多，不卖
  04-16 11:15    🔴反弹结束        🟢看多        ⏸HOLD     8159.53  30min看多，不卖
  04-16 13:20    🟢止跌上涨        🟢看多        ✅BUY      8136.67  
  04-17 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8182.42  30min看多，不卖
  04-17 10:20    🟢止跌上涨        🟢看多        ✅BUY      8151.67  
  04-17 10:55    🔴反弹结束        🟢看多        ⏸HOLD     8196.99  30min看多，不卖
  04-17 13:15    🟢止跌上涨        🔴看空        ⏸HOLD     8171.57  30min看空，不买
  04-17 14:20    🔴反弹结束        🔴看空        ✅SELL     8210.52  
  04-20 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8309.72  30min看多，不卖
  04-20 11:05    🔴反弹结束        🟢看多        ⏸HOLD     8310.94  30min看多，不卖
  04-20 11:25    🟢止跌上涨        🟢看多        ✅BUY      8269.56  
  04-20 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8305.46  30min看多，不卖
  04-20 13:50    🟢止跌上涨        🟢看多        ✅BUY      8262.07  
  04-21 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     8211.11  30min看空，不买
  04-21 10:30    🟢止跌上涨        🔴看空        ⏸HOLD     8209.77  30min看空，不买
  04-21 11:10    🔴反弹结束        🟢看多        ⏸HOLD     8240.54  30min看多，不卖
  04-21 13:50    🔴反弹结束        🟢看多        ⏸HOLD     8280.06  30min看多，不卖
  04-21 14:25    🟢止跌上涨        🟢看多        ✅BUY      8247.03  
  04-22 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8303.57  30min看多，不卖
  04-22 13:05    🔴反弹结束        🟢看多        ⏸HOLD     8339.34  30min看多，不卖
  04-22 13:40    🔴反弹结束        🟢看多        ⏸HOLD     8362.23  30min看多，不卖
  04-22 14:20    🟢止跌上涨        🟢看多        ✅BUY      8336.05  
  04-23 09:45    🔴反弹结束        🟢看多        ⏸HOLD     8381.24  30min看多，不卖
  04-23 10:00    🟢止跌上涨        🔴看空        ⏸HOLD     8285.24  30min看空，不买
  04-23 10:15    🔴反弹结束        🔴看空        ✅SELL     8315.78  
  04-23 10:30    🔴反弹结束        🔴看空        ✅SELL     8339.94  
  04-23 13:15    🟢止跌上涨        🔴看空        ⏸HOLD     8236.88  30min看空，不买
  04-23 13:25    🔴反弹结束        🔴看空        ✅SELL     8283.94  
  04-23 13:55    🔴反弹结束        🟢看多        ⏸HOLD     8312.58  30min看多，不卖
  04-23 14:40    🟢止跌上涨        🔴看空        ⏸HOLD     8277.76  30min看空，不买
  04-23 14:50    🔴反弹结束        🔴看空        ✅SELL     8309.20  
  04-24 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8203.10  30min看空，不买
  04-24 10:20    🔴反弹结束        🔴看空        ✅SELL     8215.67  
  04-24 10:50    🔴反弹结束        🔴看空        ✅SELL     8245.49  
  04-24 11:20    🟢止跌上涨        🟢看多        ✅BUY      8191.76  ⚠️MA判假反弹
  04-24 13:10    🔴反弹结束        🟢看多        ⏸HOLD     8227.94  30min看多，不卖
  04-24 13:50    🔴反弹结束        🟢看多        ⏸HOLD     8239.30  30min看多，不卖
  04-24 14:30    🔴反弹结束        🟢看多        ⏸HOLD     8299.87  30min看多，不卖
  04-27 09:35    🟢止跌上涨        🔴看空        ⏸HOLD     8236.42  30min看空，不买
  04-27 10:45    🔴反弹结束        🟢看多        ⏸HOLD     8323.39  30min看多，不卖
  04-27 11:10    🟢止跌上涨        🟢看多        ✅BUY      8288.83  
  04-28 10:00    🔴反弹结束        🔴看空        ✅SELL     8275.32  
  04-28 10:15    🟢止跌上涨        🔴看空        ⏸HOLD     8227.63  30min看空，不买
  04-28 10:35    🔴反弹结束        🔴看空        ✅SELL     8261.45  
  04-28 14:10    🟢止跌上涨        🟢看多        ✅BUY      8195.67  ⚠️MA判假反弹
  04-28 14:40    🟢止跌上涨        🟢看多        ✅BUY      8173.44  ⚠️MA判假反弹
  04-29 10:00    🔴反弹结束        🔴看空        ✅SELL     8243.77  ⚠️MA判假下跌
  04-29 10:10    🟢止跌上涨        🔴看空        ⏸HOLD     8207.04  30min看空，不买
  04-29 13:20    🔴反弹结束        🟢看多        ⏸HOLD     8319.17  30min看多，不卖
  04-30 09:50    🔴反弹结束        🟢看多        ⏸HOLD     8334.36  30min看多，不卖
  04-30 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8341.66  30min看多，不卖
  04-30 10:25    🟢止跌上涨        🟢看多        ✅BUY      8300.50  ⚠️MA判假反弹
  04-30 10:45    🔴反弹结束        🔴看空        ✅SELL     8328.51  
  04-30 13:35    🟢止跌上涨        🟢看多        ✅BUY      8315.54  
  04-30 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8375.19  30min看多，不卖
  05-06 13:15    🔴反弹结束        🟢看多        ⏸HOLD     8618.04  30min看多，不卖
  05-06 14:20    🟢止跌上涨        🟢看多        ✅BUY      8569.36  
  05-07 13:05    🔴反弹结束        🟢看多        ⏸HOLD     8653.48  30min看多，不卖
  05-07 14:40    🔴反弹结束        🟢看多        ⏸HOLD     8698.59  30min看多，不卖
  05-08 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8699.49  30min看多，不卖
  05-08 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8661.50  30min看空，不买
  05-08 11:10    🟢止跌上涨        🔴看空        ⏸HOLD     8618.21  30min看空，不买
  05-08 14:10    🔴反弹结束        🟢看多        ⏸HOLD     8705.62  30min看多，不卖
  05-11 09:50    🟢止跌上涨        🟢看多        ✅BUY      8733.02  
  05-11 10:25    🔴反弹结束        🔴看空        ✅SELL     8798.86  ⚠️MA判假下跌
  05-11 11:05    🔴反弹结束        🔴看空        ✅SELL     8829.09  ⚠️MA判假下跌
  05-12 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8771.79  30min看空，不买
  05-12 10:40    🟢止跌上涨        🔴看空        ⏸HOLD     8784.08  30min看空，不买
  05-12 10:50    🔴反弹结束        🔴看空        ✅SELL     8823.06  
  05-12 13:15    🟢止跌上涨        🟢看多        ✅BUY      8743.61  ⚠️MA判假反弹
  05-12 13:45    🔴反弹结束        🟢看多        ⏸HOLD     8774.99  30min看多，不卖
  05-13 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8790.54  30min看多，不卖
  05-13 11:30    🔴反弹结束        🔴看空        ✅SELL     8843.10  ⚠️MA判假下跌
  05-13 13:50    🔴反弹结束        🔴看空        ✅SELL     8897.39  ⚠️MA判假下跌
  05-14 09:35    🔴反弹结束        🔴看空        ✅SELL     8956.66  
  05-14 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8799.80  30min看空，不买
  05-14 10:25    🟢止跌上涨        🔴看空        ⏸HOLD     8772.99  30min看空，不买
  05-14 10:40    🔴反弹结束        🔴看空        ✅SELL     8806.97  
  05-14 10:50    🟢止跌上涨        🔴看空        ⏸HOLD     8757.21  30min看空，不买
  05-14 11:30    🟢止跌上涨        🔴看空        ⏸HOLD     8727.54  30min看空，不买
  05-14 13:30    🔴反弹结束        🟢看多        ⏸HOLD     8791.94  30min看多，不卖
  05-14 13:45    🟢止跌上涨        🟢看多        ✅BUY      8734.84  ⚠️MA判假反弹
  05-14 14:00    🔴反弹结束        🟢看多        ⏸HOLD     8785.74  30min看多，不卖
  05-15 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8490.85  30min看空，不买
  05-15 10:25    🔴反弹结束        🔴看空        ✅SELL     8580.76  
  05-15 11:20    🔴反弹结束        🟢看多        ⏸HOLD     8716.12  30min看多，不卖
  05-15 13:15    🟢止跌上涨        🟢看多        ✅BUY      8589.54  ⚠️MA判假反弹
  05-15 13:35    🔴反弹结束        🔴看空        ✅SELL     8622.58  
  05-15 13:55    🟢止跌上涨        🔴看空        ⏸HOLD     8523.18  30min看空，不买
  05-15 14:10    🟢止跌上涨        🔴看空        ⏸HOLD     8484.70  30min看空，不买
  05-15 14:40    🟢止跌上涨        🔴看空        ⏸HOLD     8478.58  30min看空，不买
  05-18 09:35    🔴反弹结束        🟢看多        ⏸HOLD     8523.41  30min看多，不卖
  05-18 10:20    🔴反弹结束        🟢看多        ⏸HOLD     8594.61  30min看多，不卖
  05-18 11:05    🟢止跌上涨        🔴看空        ⏸HOLD     8549.90  30min看空，不买
  05-18 11:15    🔴反弹结束        🔴看空        ✅SELL     8583.42  
  05-18 11:30    🟢止跌上涨        🔴看空        ⏸HOLD     8532.60  30min看空，不买
  05-18 13:15    🔴反弹结束        🔴看空        ✅SELL     8580.00  
  05-18 14:10    🟢止跌上涨        🔴看空        ⏸HOLD     8489.32  30min看空，不买
  05-18 14:30    🔴反弹结束        🔴看空        ✅SELL     8531.84  
  05-18 14:50    🟢止跌上涨        🔴看空        ⏸HOLD     8513.10  30min看空，不买
  05-19 09:35    🔴反弹结束        🔴看空        ✅SELL     8524.15  
  05-19 10:20    🟢止跌上涨        🔴看空        ⏸HOLD     8418.38  30min看空，不买
  05-19 10:55    🔴反弹结束        🔴看空        ✅SELL     8493.26  
  05-19 13:05    🔴反弹结束        🟢看多        ⏸HOLD     8528.72  30min看多，不卖
  05-19 13:45    🔴反弹结束        🟢看多        ⏸HOLD     8573.17  30min看多，不卖
  05-19 14:10    🔴反弹结束        🟢看多        ⏸HOLD     8594.76  30min看多，不卖
  05-20 09:40    🔴反弹结束        🟢看多        ⏸HOLD     8599.18  30min看多，不卖
  05-20 10:30    🟢止跌上涨        🟢看多        ✅BUY      8576.16  
  05-20 10:45    🔴反弹结束        🟢看多        ⏸HOLD     8606.18  30min看多，不卖
  05-20 11:20    🟢止跌上涨        🔴看空        ⏸HOLD     8569.63  30min看空，不买
  05-20 13:25    🔴反弹结束        🔴看空        ✅SELL     8670.83  ⚠️MA判假下跌
  05-20 13:40    🟢止跌上涨        🔴看空        ⏸HOLD     8625.16  30min看空，不买
  05-20 14:10    🔴反弹结束        🔴看空        ✅SELL     8645.91  
  05-21 09:40    🔴反弹结束        🔴看空        ✅SELL     8759.56  ⚠️MA判假下跌
  05-21 09:50    🟢止跌上涨        🔴看空        ⏸HOLD     8711.99  30min看空，不买
  05-21 10:05    🔴反弹结束        🟢看多        ⏸HOLD     8789.08  30min看多，不卖
  05-21 10:25    🔴反弹结束        🟢看多        ⏸HOLD     8778.65  30min看多，不卖
  05-21 11:00    🟢止跌上涨        🔴看空        ⏸HOLD     8710.84  30min看空，不买
  05-21 11:25    🟢止跌上涨        🔴看空        ⏸HOLD     8697.27  30min看空，不买
  05-21 14:40    🟢止跌上涨        🔴看空        ⏸HOLD     8435.71  30min看空，不买
  05-21 15:00    🟢止跌上涨        🔴看空        ⏸HOLD     8410.06  30min看空，不买
  05-22 10:00    🔴反弹结束        🟢看多        ⏸HOLD     8526.20  30min看多，不卖
  05-22 10:35    🟢止跌上涨        🟢看多        ✅BUY      8414.95  ⚠️MA判假反弹
  05-22 11:05    🔴反弹结束        🟢看多        ⏸HOLD     8481.90  30min看多，不卖
  05-22 13:20    🔴反弹结束        🟢看多        ⏸HOLD     8530.62  30min看多，不卖
  05-22 14:00    🔴反弹结束        🟢看多        ⏸HOLD     8576.15  30min看多，不卖
  05-22 14:15    🔴反弹结束        🟢看多        ⏸HOLD     8587.63  30min看多，不卖
  05-22 14:25    🟢止跌上涨        🟢看多        ✅BUY      8560.34  
  05-25 09:35    🔴反弹结束        🟢看多        ⏸HOLD     8640.83  30min看多，不卖
  05-25 10:05    🟢止跌上涨        🔴看空        ⏸HOLD     8551.07  30min看空，不买
  05-25 10:35    🔴反弹结束        🟢看多        ⏸HOLD     8625.26  30min看多，不卖
